Question_ID,Comprehension,Question,Examiner_Answer,Student_Answer,Student_Score,Question_Score
1,"All but the simplest human behaviour is ascribed to intelligence, while even the most complicated insect behaviour is usually not taken as an indication of intelligence. What is the difference? Consider the behaviour of the digger wasp, Sphex ichneumoneus. When the female wasp returns to her burrow with food, she first deposits it on the threshold, checks for intruders inside her burrow, and only then, if the coast is clear, carries her food inside. The real nature of the wasp’s instinctual behaviour is revealed if the food is moved a few inches away from the entrance to her burrow while she is inside: on emerging, she will repeat the whole procedure as often as the food is displaced. Intelligence—conspicuously absent in the case of Sphex—must include the ability to adapt to new circumstances. Intelligence has been defined in many ways: the capacity for abstraction, logic, understanding, self-awareness, learning, emotional knowledge, reasoning, planning, creativity, critical thinking, and problem-solving",What is intelligence,"Intelligence is the capacity for abstraction, logic, understanding, self-awareness, learning, emotional knowledge, reasoning, planning, creativity, critical thinking, and problem-solving",intelligence,0,5
1,"All but the simplest human behaviour is ascribed to intelligence, while even the most complicated insect behaviour is usually not taken as an indication of intelligence. What is the difference? Consider the behaviour of the digger wasp, Sphex ichneumoneus. When the female wasp returns to her burrow with food, she first deposits it on the threshold, checks for intruders inside her burrow, and only then, if the coast is clear, carries her food inside. The real nature of the wasp’s instinctual behaviour is revealed if the food is moved a few inches away from the entrance to her burrow while she is inside: on emerging, she will repeat the whole procedure as often as the food is displaced. Intelligence—conspicuously absent in the case of Sphex—must include the ability to adapt to new circumstances. Intelligence has been defined in many ways: the capacity for abstraction, logic, understanding, self-awareness, learning, emotional knowledge, reasoning, planning, creativity, critical thinking, and problem-solving",What is intelligence,"Intelligence is the capacity for abstraction, logic, understanding, self-awareness, learning, emotional knowledge, reasoning, planning, creativity, critical thinking, and problem-solving","Intelligence is the capacity for abstraction, logic, comprehending, self-awareness, learning, emotional knowledge, reasoning, preparing, creativity, critical thinking, and problem solving.",5,5
1,"All but the simplest human behaviour is ascribed to intelligence, while even the most complicated insect behaviour is usually not taken as an indication of intelligence. What is the difference? Consider the behaviour of the digger wasp, Sphex ichneumoneus. When the female wasp returns to her burrow with food, she first deposits it on the threshold, checks for intruders inside her burrow, and only then, if the coast is clear, carries her food inside. The real nature of the wasp’s instinctual behaviour is revealed if the food is moved a few inches away from the entrance to her burrow while she is inside: on emerging, she will repeat the whole procedure as often as the food is displaced. Intelligence—conspicuously absent in the case of Sphex—must include the ability to adapt to new circumstances. Intelligence has been defined in many ways: the capacity for abstraction, logic, understanding, self-awareness, learning, emotional knowledge, reasoning, planning, creativity, critical thinking, and problem-solving",What is intelligence,"Intelligence is the capacity for abstraction, logic, understanding, self-awareness, learning, emotional knowledge, reasoning, planning, creativity, critical thinking, and problem-solving","Intelligence means the ability to think, learn, understand emotions, solve problems, and be creative.",5,5
1,"As the hype around AI has accelerated, vendors have been scrambling to promote how their products and services use it. Often, what they refer to as AI is simply a component of the technology, such as machine learning. AI requires a foundation of specialized hardware and software for writing and training machine learning algorithms. No single programming language is synonymous with AI, but Python, R, Java, C++ and Julia have features popular with AI developers. In general, AI systems work by ingesting large amounts of labeled training data, analyzing the data for correlations and patterns, and using these patterns to make predictions about future states. In this way, a chatbot that is fed examples of text can learn to generate lifelike exchanges with people, or an image recognition tool can learn to identify and describe objects in images by reviewing millions of examples. New, rapidly improving generative AI techniques can create realistic text, images, music and other media. Learning. This aspect of AI programming focuses on acquiring data and creating rules for how to turn it into actionable information. The rules, which are called algorithms, provide computing devices with step-by-step instructions for how to complete a specific task.
Reasoning. This aspect of AI programming focuses on choosing the right algorithm to reach a desired outcome.
Self-correction. This aspect of AI programming is designed to continually fine-tune algorithms and ensure they provide the most accurate results possible.
Creativity. This aspect of AI uses neural networks, rules-based systems, statistical methods and other AI techniques to generate new images, new text, new music and new ideas.",How does AI work,"Learning. This aspect of AI programming focuses on acquiring data and creating rules for how to turn it into actionable information. The rules, which are called algorithms, provide computing devices with step-by-step instructions for how to complete a specific task.
Reasoning. This aspect of AI programming focuses on choosing the right algorithm to reach a desired outcome.
Self-correction. This aspect of AI programming is designed to continually fine-tune algorithms and ensure they provide the most accurate results possible.
Creativity. This aspect of AI uses neural networks, rules-based systems, statistical methods and other AI techniques to generate new images, new text, new music and new ideas.","Learning: Gathering data and creating step-by-step instructions (algorithms) for computers to process it effectively.
Reasoning: Selecting the appropriate algorithm to achieve a specific goal or outcome.
Self-correction: Continuously refining algorithms to improve accuracy.
Additionally, AI can showcase creativity by using various techniques to generate novel content like images, text, music, and ideas.",2,5
1,"As the hype around AI has accelerated, vendors have been scrambling to promote how their products and services use it. Often, what they refer to as AI is simply a component of the technology, such as machine learning. AI requires a foundation of specialized hardware and software for writing and training machine learning algorithms. No single programming language is synonymous with AI, but Python, R, Java, C++ and Julia have features popular with AI developers. In general, AI systems work by ingesting large amounts of labeled training data, analyzing the data for correlations and patterns, and using these patterns to make predictions about future states. In this way, a chatbot that is fed examples of text can learn to generate lifelike exchanges with people, or an image recognition tool can learn to identify and describe objects in images by reviewing millions of examples. New, rapidly improving generative AI techniques can create realistic text, images, music and other media. Learning. This aspect of AI programming focuses on acquiring data and creating rules for how to turn it into actionable information. The rules, which are called algorithms, provide computing devices with step-by-step instructions for how to complete a specific task.
Reasoning. This aspect of AI programming focuses on choosing the right algorithm to reach a desired outcome.
Self-correction. This aspect of AI programming is designed to continually fine-tune algorithms and ensure they provide the most accurate results possible.
Creativity. This aspect of AI uses neural networks, rules-based systems, statistical methods and other AI techniques to generate new images, new text, new music and new ideas.",How does AI work,"Learning. This aspect of AI programming focuses on acquiring data and creating rules for how to turn it into actionable information. The rules, which are called algorithms, provide computing devices with step-by-step instructions for how to complete a specific task.
Reasoning. This aspect of AI programming focuses on choosing the right algorithm to reach a desired outcome.
Self-correction. This aspect of AI programming is designed to continually fine-tune algorithms and ensure they provide the most accurate results possible.
Creativity. This aspect of AI uses neural networks, rules-based systems, statistical methods and other AI techniques to generate new images, new text, new music and new ideas.",Artificial ,0,5
1,"AI is important for its potential to change how we live, work and play. It has been effectively used in business to automate tasks done by humans, including customer service work, lead generation, fraud detection and quality control. In a number of areas, AI can perform tasks much better than humans. Particularly when it comes to repetitive, detail-oriented tasks, such as analyzing large numbers of legal documents to ensure relevant fields are filled in properly, AI tools often complete jobs quickly and with relatively few errors. Because of the massive data sets it can process, AI can also give enterprises insights into their operations they might not have been aware of. The rapidly expanding population of generative AI tools will be important in fields ranging from education and marketing to product design. Indeed, advances in AI techniques have not only helped fuel an explosion in efficiency, but opened the door to entirely new business opportunities for some larger enterprises. Prior to the current wave of AI, it would have been hard to imagine using computer software to connect riders to taxis, but Uber has become a Fortune 500 company by doing just that. AI has become central to many of today's largest and most successful companies, including Alphabet, Apple, Microsoft and Meta, where AI technologies are used to improve operations and outpace competitors. At Alphabet subsidiary Google, for example, AI is central to its search engine, Waymo's self-driving cars and Google Brain, which invented the transformer neural network architecture that underpins the recent breakthroughs in natural language processing.",Why is artificial intelligence important,"AI is significant because it can change how we live and work. It's used in business to automate tasks like customer service, lead generation, fraud detection, and quality control, doing some jobs better than humans, especially in repetitive tasks. AI's ability to analyze large datasets provides valuable insights into operations, and the growing use of generative AI tools is becoming crucial in fields like education, marketing, and product design.","AI is a big deal because it changes how we do things in life and work. It helps businesses by doing tasks like talking to customers, finding leads, catching fraud, and checking quality. AI is like a super helper, especially for jobs that are boring and repeat a lot. It also looks at a ton of information to tell businesses things they didn't know before. Imagine AI as a smart assistant that makes life and work easier.",4,5
1,"AI is important for its potential to change how we live, work and play. It has been effectively used in business to automate tasks done by humans, including customer service work, lead generation, fraud detection and quality control. In a number of areas, AI can perform tasks much better than humans. Particularly when it comes to repetitive, detail-oriented tasks, such as analyzing large numbers of legal documents to ensure relevant fields are filled in properly, AI tools often complete jobs quickly and with relatively few errors. Because of the massive data sets it can process, AI can also give enterprises insights into their operations they might not have been aware of. The rapidly expanding population of generative AI tools will be important in fields ranging from education and marketing to product design. Indeed, advances in AI techniques have not only helped fuel an explosion in efficiency, but opened the door to entirely new business opportunities for some larger enterprises. Prior to the current wave of AI, it would have been hard to imagine using computer software to connect riders to taxis, but Uber has become a Fortune 500 company by doing just that. AI has become central to many of today's largest and most successful companies, including Alphabet, Apple, Microsoft and Meta, where AI technologies are used to improve operations and outpace competitors. At Alphabet subsidiary Google, for example, AI is central to its search engine, Waymo's self-driving cars and Google Brain, which invented the transformer neural network architecture that underpins the recent breakthroughs in natural language processing.",Why is artificial intelligence important,"AI is significant because it can change how we live and work. It's used in business to automate tasks like customer service, lead generation, fraud detection, and quality control, doing some jobs better than humans, especially in repetitive tasks. AI's ability to analyze large datasets provides valuable insights into operations, and the growing use of generative AI tools is becoming crucial in fields like education, marketing, and product design.","AI is significant because it transforms our way of living and working. It assists companies with duties like customer service, lead generation, fraud detection, and quality control. Artificial Intelligence is a great assistance, particularly for repetitive and tedious tasks. Additionally, it examines a vast amount of data to provide firms with previously unknown insights. Consider AI as a smart helper that simplifies tasks and lives.",5,5
1,"AI is important for its potential to change how we live, work and play. It has been effectively used in business to automate tasks done by humans, including customer service work, lead generation, fraud detection and quality control. In a number of areas, AI can perform tasks much better than humans. Particularly when it comes to repetitive, detail-oriented tasks, such as analyzing large numbers of legal documents to ensure relevant fields are filled in properly, AI tools often complete jobs quickly and with relatively few errors. Because of the massive data sets it can process, AI can also give enterprises insights into their operations they might not have been aware of. The rapidly expanding population of generative AI tools will be important in fields ranging from education and marketing to product design. Indeed, advances in AI techniques have not only helped fuel an explosion in efficiency, but opened the door to entirely new business opportunities for some larger enterprises. Prior to the current wave of AI, it would have been hard to imagine using computer software to connect riders to taxis, but Uber has become a Fortune 500 company by doing just that. AI has become central to many of today's largest and most successful companies, including Alphabet, Apple, Microsoft and Meta, where AI technologies are used to improve operations and outpace competitors. At Alphabet subsidiary Google, for example, AI is central to its search engine, Waymo's self-driving cars and Google Brain, which invented the transformer neural network architecture that underpins the recent breakthroughs in natural language processing.",Why is artificial intelligence important,"AI is significant because it can change how we live and work. It's used in business to automate tasks like customer service, lead generation, fraud detection, and quality control, doing some jobs better than humans, especially in repetitive tasks. AI's ability to analyze large datasets provides valuable insights into operations, and the growing use of generative AI tools is becoming crucial in fields like education, marketing, and product design.","The potential for AI to alter our way of life and work makes it important. It is used in business to automate processes such as fraud detection, lead creation, quality control, and customer support. It can perform certain tasks more effectively than people, particularly those that are repetitive. Large-scale dataset analysis capabilities of AI offer insightful understanding of operations, and the increasing application of generative AI technologies is increasingly essential in domains such as education, marketing, and product design.",4,5
1,"Artificial neural networks and deep learning AI technologies are quickly evolving, primarily because AI can process large amounts of data much faster and make predictions more accurately than humanly possible.

While the huge volume of data created on a daily basis would bury a human researcher, AI applications using machine learning can take that data and quickly turn it into actionable information. As of this writing, a primary disadvantage of AI is that it is expensive to process the large amounts of data AI programming requires. As AI techniques are incorporated into more products and services, organizations must also be attuned to AI's potential to create biased and discriminatory systems, intentionally or inadvertently.

Advantages of AI
The following are some advantages of AI.

Good at detail-oriented jobs. AI has proven to be just as good, if not better than doctors at diagnosing certain cancers, including breast cancer and melanoma.
Reduced time for data-heavy tasks. AI is widely used in data-heavy industries, including banking and securities, pharma and insurance, to reduce the time it takes to analyze big data sets. Financial services, for example, routinely use AI to process loan applications and detect fraud.
Saves labor and increases productivity. An example here is the use of warehouse automation, which grew during the pandemic and is expected to increase with the integration of AI and machine learning.
Delivers consistent results. The best AI translation tools deliver high levels of consistency, offering even small businesses the ability to reach customers in their native language.
Can improve customer satisfaction through personalization. AI can personalize content, messaging, ads, recommendations and websites to individual customers.
AI-powered virtual agents are always available. AI programs do not need to sleep or take breaks, providing 24/7 service.
Disadvantages of AI
The following are some disadvantages of AI.

Expensive.
Requires deep technical expertise.
Limited supply of qualified workers to build AI tools.
Reflects the biases of its training data, at scale.
Lack of ability to generalize from one task to another.
Eliminates human jobs, increasing unemployment rates.",What are the advantages and disadvantages of artificial intelligence,"Advantages of AI
The following are some advantages of AI.
Good at detail-oriented jobs. AI has proven to be just as good, if not better than doctors at diagnosing certain cancers, including breast cancer and melanoma.
Reduced time for data-heavy tasks. AI is widely used in data-heavy industries, including banking and securities, pharma and insurance, to reduce the time it takes to analyze big data sets. Financial services, for example, routinely use AI to process loan applications and detect fraud.
Saves labor and increases productivity. An example here is the use of warehouse automation, which grew during the pandemic and is expected to increase with the integration of AI and machine learning.
Delivers consistent results. The best AI translation tools deliver high levels of consistency, offering even small businesses the ability to reach customers in their native language.
Can improve customer satisfaction through personalization. AI can personalize content, messaging, ads, recommendations and websites to individual customers.
AI-powered virtual agents are always available. AI programs do not need to sleep or take breaks, providing 24/7 service.
Disadvantages of AI
The following are some disadvantages of AI.

Expensive.
Requires deep technical expertise.
Limited supply of qualified workers to build AI tools.
Reflects the biases of its training data, at scale.
Lack of ability to generalize from one task to another.
Eliminates human jobs, increasing unemployment rates.","Advantages of AI
1. Super Smart in Specific Jobs
2. Faster and Less Work
3. Less Work for People
4. Always Gives Good Results
5. Personalized Experiences
6. Always Available
Disadvantages of AI
1. Expensive
2. Need Smart People
3. Not Enough Experts
4. Can Be Biased
5. Specialized Skills
6. Can Take Away Jobs",4,5
1,"Arend Hintze, an assistant professor of integrative biology and computer science and engineering at Michigan State University, explained that AI can be categorized into four types, beginning with the task-specific intelligent systems in wide use today and progressing to sentient systems, which do not yet exist. The categories are as follows.

Type 1: Reactive machines. These AI systems have no memory and are task-specific. An example is Deep Blue, the IBM chess program that beat Garry Kasparov in the 1990s. Deep Blue can identify pieces on a chessboard and make predictions, but because it has no memory, it cannot use past experiences to inform future ones.
Type 2: Limited memory. These AI systems have memory, so they can use past experiences to inform future decisions. Some of the decision-making functions in self-driving cars are designed this way.
Type 3: Theory of mind. Theory of mind is a psychology term. When applied to AI, it means the system would have the social intelligence to understand emotions. This type of AI will be able to infer human intentions and predict behavior, a necessary skill for AI systems to become integral members of human teams.
Type 4: Self-awareness. In this category, AI systems have a sense of self, which gives them consciousness. Machines with self-awareness understand their own current state. This type of AI does not yet exist.",What are the 4 types of artificial intelligence,"Type 1: Reactive Machines - These AI systems lack memory and are designed for specific tasks, exemplified by Deep Blue, the IBM chess program from the 1990s. Although capable of identifying chessboard pieces and making predictions, their lack of memory precludes them from using past experiences for future decision-making.

Type 2: Limited Memory - AI systems of this type possess memory, allowing them to leverage past experiences for future decisions. Examples include decision-making functions in self-driving cars.

Type 3: Theory of Mind - Drawing from psychology, this type implies social intelligence in AI, enabling the system to comprehend emotions, infer human intentions, and predict behavior. This skill is crucial for AI to seamlessly integrate into human teams.

Type 4: Self-awareness - This category envisions AI systems with self-awareness, endowing them with consciousness. Machines possessing self-awareness would understand their current state. It's important to note that AI with this level of self-awareness does not currently exist.","Type 1: Reactive Machines

Think of these like one-trick ponies. They can do one specific job really well, like playing chess (just like Deep Blue did in the '90s), but they can't remember past games or experiences. It's all about the task at hand.
Type 2: Limited Memory

These AI systems are a bit better. They can remember some stuff from the past, so when they're making decisions, they can use what they've learned before. For example, some parts of self-driving cars work this way—they remember past situations to drive better.
Type 3: Theory of Mind

Now, we're getting into AI that understands people a bit more. Think of it like a computer that can ""get"" human feelings. It might predict what you're going to do based on how you're feeling. This is important for AI to work well with humans on teams.
Type 4: Self-awareness

This is like the most advanced level. Imagine AI that not only understands what's happening around it but also knows itself. It's conscious, aware of its own state. But, here's the thing—this kind of AI doesn't exist yet. It's like a futuristic idea for now.",4,5
1,"Arend Hintze, an assistant professor of integrative biology and computer science and engineering at Michigan State University, explained that AI can be categorized into four types, beginning with the task-specific intelligent systems in wide use today and progressing to sentient systems, which do not yet exist. The categories are as follows.

Type 1: Reactive machines. These AI systems have no memory and are task-specific. An example is Deep Blue, the IBM chess program that beat Garry Kasparov in the 1990s. Deep Blue can identify pieces on a chessboard and make predictions, but because it has no memory, it cannot use past experiences to inform future ones.
Type 2: Limited memory. These AI systems have memory, so they can use past experiences to inform future decisions. Some of the decision-making functions in self-driving cars are designed this way.
Type 3: Theory of mind. Theory of mind is a psychology term. When applied to AI, it means the system would have the social intelligence to understand emotions. This type of AI will be able to infer human intentions and predict behavior, a necessary skill for AI systems to become integral members of human teams.
Type 4: Self-awareness. In this category, AI systems have a sense of self, which gives them consciousness. Machines with self-awareness understand their own current state. This type of AI does not yet exist.",What are the 4 types of artificial intelligence,"Type 1: Reactive Machines - These AI systems lack memory and are designed for specific tasks, exemplified by Deep Blue, the IBM chess program from the 1990s. Although capable of identifying chessboard pieces and making predictions, their lack of memory precludes them from using past experiences for future decision-making.

Type 2: Limited Memory - AI systems of this type possess memory, allowing them to leverage past experiences for future decisions. Examples include decision-making functions in self-driving cars.

Type 3: Theory of Mind - Drawing from psychology, this type implies social intelligence in AI, enabling the system to comprehend emotions, infer human intentions, and predict behavior. This skill is crucial for AI to seamlessly integrate into human teams.

Type 4: Self-awareness - This category envisions AI systems with self-awareness, endowing them with consciousness. Machines possessing self-awareness would understand their current state. It's important to note that AI with this level of self-awareness does not currently exist.","Reactive Machines: Like one-trick experts, they excel at specific tasks (e.g., chess) but can't remember past experiences.

Limited Memory: Better than the first type, these systems remember some things from the past to make better decisions (e.g., certain aspects of self-driving cars).

Theory of Mind: AI that understands human emotions, predicting behavior based on feelings. Important for working alongside humans in teams.

Self-awareness: The most advanced, but currently theoretical, AI level where machines are not just aware of their surroundings but also understand themselves.",5,5
1,"Arend Hintze, an assistant professor of integrative biology and computer science and engineering at Michigan State University, explained that AI can be categorized into four types, beginning with the task-specific intelligent systems in wide use today and progressing to sentient systems, which do not yet exist. The categories are as follows.

Type 1: Reactive machines. These AI systems have no memory and are task-specific. An example is Deep Blue, the IBM chess program that beat Garry Kasparov in the 1990s. Deep Blue can identify pieces on a chessboard and make predictions, but because it has no memory, it cannot use past experiences to inform future ones.
Type 2: Limited memory. These AI systems have memory, so they can use past experiences to inform future decisions. Some of the decision-making functions in self-driving cars are designed this way.
Type 3: Theory of mind. Theory of mind is a psychology term. When applied to AI, it means the system would have the social intelligence to understand emotions. This type of AI will be able to infer human intentions and predict behavior, a necessary skill for AI systems to become integral members of human teams.
Type 4: Self-awareness. In this category, AI systems have a sense of self, which gives them consciousness. Machines with self-awareness understand their own current state. This type of AI does not yet exist.",What are the 4 types of artificial intelligence,"Type 1: Reactive Machines - These AI systems lack memory and are designed for specific tasks, exemplified by Deep Blue, the IBM chess program from the 1990s. Although capable of identifying chessboard pieces and making predictions, their lack of memory precludes them from using past experiences for future decision-making.

Type 2: Limited Memory - AI systems of this type possess memory, allowing them to leverage past experiences for future decisions. Examples include decision-making functions in self-driving cars.

Type 3: Theory of Mind - Drawing from psychology, this type implies social intelligence in AI, enabling the system to comprehend emotions, infer human intentions, and predict behavior. This skill is crucial for AI to seamlessly integrate into human teams.

Type 4: Self-awareness - This category envisions AI systems with self-awareness, endowing them with consciousness. Machines possessing self-awareness would understand their current state. It's important to note that AI with this level of self-awareness does not currently exist.","Reactive Machines: One-trick experts without memory.

Limited Memory: Remember some stuff from the past for better decisions.

Theory of Mind: AI that understands human feelings for better teamwork.

Self-awareness: Advanced AI that understands itself, but it's still a futuristic idea.",5,5
